province,city_or_municipality,position,name,nikname,votes_obtained
Abra,Malibcong,Councilor,"Balitnang, Clemente Bayudang",Menti,601
Abra,Tineg,Vice-Mayor,"Gavino, Maura Bersalona",Urang,605
Ilocos Sur,Sigay,Councilor,"Dilla, Baltazar Suen",Baltaz,612
Ilocos Sur,Sugpon,Councilor,"Paquidao, Wilfredo Apolog",Weddy,615
Ilocos Sur,Sugpon,Councilor,"Lubrin, Rene Crisanto Lorenzana",Santong,622
Ilocos Norte,Dumalneg,Mayor,"Espiritu, Francisco Jr. Raval",Francis,626
Abra,Malibcong,Mayor,"Bacuyag, Benido Galunay",Ben,635
Ilocos Norte,Dumalneg,Councilor,"Laguitan, Alejo Jr. Morales",Jun,636
Batanes,Mahatao,Vice-Mayor,"Carzon, Victor Fagut",Vic,636
Ilocos Sur,Sigay,Councilor,"Alabag, Marieta Tayaben",Mining,638
Mountain Province,Barlig,Mayor,"Lupoyon, Magdalena Kintapan",Dalen,647
Isabela,Dinapigue,Councilor,"Dairo, Imelda Pamonciales",Melda,647
Ilocos Norte,Dumalneg,Councilor,"Banaba, Justo Agcarrang",Justo,648
Abra,Bucloc,Councilor,"Cillo, Eugene Calumnag",Gene,652
Ilocos Sur,Sugpon,Councilor,"Quinio, Corsido Pilgi",Sido,660
Ilocos Norte,Carasi,Mayor,"Fernandez, Joy Banaqui Carte",Joy Carte,664
Isabela,Dinapigue,Councilor,"Mondala, Jovita Balacuit",Jovit,674
Ilocos Sur,Sugpon,Councilor,"Sicmaten, Silvestre Sr. Domansa",Bestre,676
Abra,Bucloc,Vice-Mayor,"Latawan, Macbey Lalin",Macbey,679
Ilocos Sur,Sugpon,Councilor,"Alfaro, Geronimo Agaid",Romeo,680
Ilocos Sur,Sigay,Councilor,"Donglos, Ernesto Sr. Dig-Ao",Nesto,681
Abra,Tineg,Councilor,"Tandi, Rey Lanag",Iyeg,683
Ilocos Sur,Sigay,Councilor,"Dadpaas, Mamerto Gumpad",Merto,683
Batanes,Itbayat,Vice-Mayor,"Gutierrez, Simaco Valdesancho",Maco,683
Isabela,Maconacion,Councilor,"Baricog, Rene Cimatu",Rene,685
Isabela,Dinapigue,Councilor,"Forto, Romulo Balacanao",42,699
Ilocos Sur,Sigay,Councilor,"Wandas, Victor Pugangan",Tangken,700
Abra,Tineg,Councilor,"Zapata, Soledad Palangi",Soleng,706
Isabela,Dinapigue,Councilor,"Dulatre, Salvador Fajardo",Ador,710
Ilocos Sur,Sigay,Councilor,"Lang-Ay, Dionisio Sr.",Diony,741
Abra,Tineg,Councilor,"Turalba, Nicomedes Tangbaoan",Nico,753
Abra,Tineg,Councilor,"Bangquig, Ricardo Galla",Ringen,753
Ilocos Sur,Sugpon,Councilor,"Valentin, Eric Cudao",Eric,753
Isabela,Maconacion,Councilor,"Taberner, Jolly Antonio",Jolly,757
Misamis Ocidental,Clarin,Councilor,"Pilota, Edwin Oliver Dumagan",Obing,763
Ilocos Sur,Sugpon,Councilor,"Yubos, Teofilo Abalos",Pilo,768
Mountain Province,Sadanga,Councilor,"Gubaten, Manuel Agmeyeng",Manny Fallangan,770
Abra,Tineg,Councilor,"Valencia, Nora Wayaway",Dinaw,771
Eastern Samar,Maslog,Councilor,"Lazarra, Pancho Forteza",Pansot,775
Ilocos Sur,Sigay,Councilor,"Lipaen, Robinson Ubuan",Robin,776
Isabela,Dinapigue,Councilor,"Rodil, Reynante Orpeza",Nante,779
Lanao del Sur,Kapai,Councilor,"H Salal, Johary H Gafur",Dioka,780
Mountain Province,Sadanga,Councilor,"Farong-Ey, Laurence Agcarao",Fengyao,782
Isabela,Dinapigue,Councilor,"Dulnuan, Felisa Sabiano",Fely,782
Lanao del Sur,Sultan Dumalondong,Vice-Mayor,"Al-Macaraya, Isnaira Panandigan-Kurangking",Ustada Mamundug,784
Mountain Province,Sadanga,Councilor,"Tangkawan, Avelino Kasingey",-,784
Misamis Ocidental,Clarin,Councilor,"Lamoste, Alfredo Tricarol",Loloy Kapitan,786
Isabela,Dinapigue,Councilor,"Pattaguan, Imelda Chakiton",Emie,789
Abra,Lacub,Councilor,"Banatao, Rodolfo Maguelang",Piding,790
Misamis Ocidental,Clarin,Councilor,"Aso, Veteliano Yabo",Tel,794
Abra,Tineg,Councilor,"Enon, Pedro Sr. Quido",Pedring,796
Abra,Tineg,Councilor,"Batawang, Jeremias Tiwag",Herem,799
Eastern Samar,Maslog,Councilor,"Valles, Roberto Rebato",Otok,802
Lanao del Sur,Kapai,Councilor,"Palo, Diamael Hadji Mustapa",Dia,813
Abra,Lacub,Councilor,"Brillantes, Artemio Caban-Nag",Benido,814
Mountain Province,Sadanga,Councilor,"Wagayan, Amadita Padua",Amy,815
Mountain Province,Sadanga,Councilor,"Fallaweg, Alexander Morareng",Alex,823
Isabela,Dinapigue,Councilor,"Arana , Joel Buraga",Boboy,823
Eastern Samar,Maslog,Councilor,"Concan, Elena Campomanes",Elen,824
Isabela,Divilacan,Councilor,"Custodio, Alfredo Palogan",Fredie,826
Nueva Vizcaya,Alfonso Castaneda,Councilor,"Valdez, Aldrine Montemayor",Aldrin,838
Isabela,Divilacan,Councilor,"Cabaldo, Ventura Mago",Tura,839
Ilocos Sur,Sigay,Councilor,"Garnace, Jovita Dalilis",Jovit,841
Isabela,Maconacion,Councilor,"Liberato, Valentino Manuel",Val,853
Ilocos Sur,Lidlidda,Councilor,"Baguso, Ronaldo Banaguen",Chavit,854
Abra,Danglas,Councilor,"Colet, Jerry Martinez",Obbot,857
Mountain Province,Sadanga,Councilor,"Chirweran, Miguel Ammangeb",Migingan,857
Isabela,Divilacan,Councilor,"Eslabon, Eduardo Jr. Centeno",Eddie,857
Mountain Province,Barlig,Councilor,"Banya-Ao, Ben Chuh-Yao",Polly,860
Isabela,Maconacion,Councilor,"Oriarte, Emerson Emer Magarro",Emo,862
Isabela,Dinapigue,Vice-Mayor,"Legawen, Hueves Anapen",Pongan,863
Eastern Samar,Maslog,Councilor,"Lazarra, Sedero Valles",Seder,868
Mountain Province,Barlig,Councilor,"Ingson, Quimson Agapito",Kimbo,878
Abra,Lacub,Councilor,"Reyes, Renato Dannang",Atong,880
Nueva Vizcaya,Alfonso Castaneda,Councilor,"Batino, Alfonso Pasiglao",Botie Bogi,880
Abra,Lacub,Councilor,"Bernardez, Ellen Bose",Lapok,882
Abra,Lacub,Councilor,"Balaoag, Conrado Daoagan",Pantoling,883
Batanes,Itbayat,Mayor,"Gonzales, Romeo Legarda",Romy,883
Lanao del Sur,Kapai,Councilor,"Maminta, Ibra Paniamba-An",Ibrahim,885
Sulu,Hadji Panglima Tahil Mar,Councilor,"Musa, Abdulmudil Unni",Mudil,887
Abra,Lagayan,Councilor,"Daria, Marybel Estrella",Bel,889
Mountain Province,Barlig,Councilor,"Cablog, Fernando Yacam-Ma",Fernan,894
Lanao del Sur,Sultan Dumalondong,Councilor,"Abdulhamid, Acmad Gao",Acmad,895
Lanao del Sur,Sultan Dumalondong,Councilor,"Abdulcate, Cocoy Gagao",Coco,896
Mountain Province,Sadanga,Councilor,"Ackut, Geraldo Jr. Finmosao",Agpad,899
Abra,Lagayan,Councilor,"Parinas, Ma Cleofas Cuesta De La",Opas,903
Eastern Samar,Maslog,Councilor,"Lazarra, Florencio Jr. Nalda",Bb,906
Eastern Samar,Maslog,Councilor,"Quiba, Yolanda Rebato",Yoly,908
Misamis Ocidental,Clarin,Councilor,"Parreno, Flordeliza Bolonia",Bebeth,912
Ilocos Sur,Gregorio del Pilar Concep,Councilor,"Ngaeb, Domingo Bumakil",Doming,918
Cagayan,Santa Praxedes,Councilor,"Ragsac, Crisception Tomas",Ising Flores,918
Mountain Province,Barlig,Councilor,"Dakilay, Rockybal Sabawel",Rocky,921
Lanao del Sur,Kapai,Councilor,"Tomiara, Cairoden Ampal",Cair,924
Abra,Danglas,Councilor,"Tan, Gilbert Sap-Il",Gil,925
Isabela,Maconacion,Councilor,"Quebral, Rolly Mayo",Rolly,927
Isabela,Divilacan,Vice-Mayor,"Cortes, Olegario Siazon",Gary,929
Abra,Lacub,Mayor,"Barona, Cesar Sr. Pe Benito",Yukan,930
Abra,Lacub,Vice-Mayor,"Barona, Lysander Dugayen",Sandy,935
Abra,Tineg,Councilor,"Eduarte, Resty Gayban",Tasan,935
Abra,Licuan-Baay Licuan,Councilor,"Blando, Misah Palas",Misah,937
Abra,Licuan-Baay Licuan,Councilor,"Villamor, Moises Sales",2 Isis,942
Isabela,Divilacan,Councilor,"Morada, Shintani De Leon",Tanny,943
Mountain Province,Barlig,Councilor,"Constancio, Jeb Gumafiay",Jeb,949
Isabela,Maconacion,Councilor,"Perucho, Michael Peneyra",Moron,953
Misamis Ocidental,Clarin,Councilor,"Aranas, Rey Dinglasa",Dodong Rey,953
Isabela,Maconacion,Councilor,"Rapanut, Edilbert Manuel",Bong,956
Abra,Lacub,Councilor,"Ortega, Eusebio Bersamin",Biyong,957
Ilocos Sur,Lidlidda,Councilor,"Balbalan, Moreno Bello",Morey,958
Nueva Vizcaya,Alfonso Castaneda,Councilor,"Marcelo, Gabriel Tictic",-,958
Nueva Vizcaya,Alfonso Castaneda,Councilor,"Dela Cruz, Perfecto Beltijar",Pecto,961
Misamis Ocidental,Clarin,Councilor,"Gumapit, Ruben Malandiay",Bong,963
Abra,Licuan-Baay Licuan,Councilor,"Batalao, Ricardo Dalingay",Dayaoen,964
Lanao del Sur,Kapai,Councilor,"Lantong, Mansawi Aloyodan",Sawi,966
Abra,Danglas,Councilor,"Agcalis, David Ocampo",David,967
Ilocos Sur,Lidlidda,Councilor,"Meliton, Saturnino Balacday",Etol,967
Abra,San Isidro,Councilor,"Callos, Gregoria Agudal",Goria,968
Isabela,Dinapigue,Mayor,"Candido, Renato Mercado",Nato,978
Nueva Vizcaya,Alfonso Castaneda,Councilor,"Paladan, Luciano Basuel",Boy Paladan,978
Sulu,Panglima Estino New Pan,Councilor,"Ibbo, Hajimulla Ainin",Hajimulla,979
Abra,Lacub,Councilor,"Eduarte, Caridad Babila",Idad,982
Isabela,Divilacan,Councilor,"Factora, Erlinda Casasola",Linda,985
Ilocos Sur,Gregorio del Pilar Concep,Councilor,"Duquing, Ulysses Ruezo",Seng Seng,987
Abra,Langgiden,Councilor,"Llaneza, William Cardenas",Willy,991
Sulu,Hadji Panglima Tahil Mar,Councilor,"Anni, Romy Simlani",Roms,993
Abra,Langgiden,Mayor,"Castillo, Noel Puddoc",Boyet,993
Ilocos Sur,Sugpon,Vice-Mayor,"Quiton, Fernando Sr. Cuyo",Fandong,994
Abra,Langgiden,Councilor,"Tadeo, Restituto Seberano",Totoy,1004
Abra,Licuan-Baay Licuan,Councilor,"Colet, Francisco Baluyan",Boy,1004
Abra,Langgiden,Councilor,"Castillo, Ruben Garduque",Ben,1005
Abra,Danglas,Councilor,"Alita, Genaro Bacud",Naro,1006
Abra,Lacub,Councilor,"Valera, Paulo Danao",Pd,1006
Sulu,Lugus,Councilor,"Misah, Abdurakman Esmail",Makaw,1007
Abra,Lagayan,Councilor,"Allen, Ferdinand Tool",Dinand,1007
Quezon,Jomalig,Councilor,"Tapar, Rudy Belda",Rudy,1009
Sulu,Panglima Estino New Pan,Councilor,"Mohammad, Jundam Tahassam",Jundam,1011
Isabela,Divilacan,Councilor,"Baggay, Abelardo Salebad",Abe,1011
Lanao del Sur,Binidayan,Councilor,"Abdulcarim, Caris Imam",Caris,1012
Lanao del Sur,Binidayan,Councilor,"Maunga, Jamal Said",Dako,1012
Sulu,Hadji Panglima Tahil Mar,Councilor,"Sali, Hamsa Ajiji",Hamsa,1012
Quezon,Patnanungan,Councilor,"Lopez, Letecia Geronimo",Letty,1013
Isabela,Maconacion,Councilor,"Reconose, Lorna Martin",Onnang,1014
Romblon,San Fernando,Councilor,"Sungcang, Romero Mariano",Toto Meroy,1015
Mountain Province,Sadanga,Councilor,"Apopot, Joseph Naweywey",-,1019
Ilocos Sur,Nagbukel,Councilor,"Cabico, Johnny Cabunoc",Johnny,1024
Nueva Vizcaya,Ambaguio,Councilor,"Kitong, Florencio Pindog",Polen,1025
Lanao del Sur,Kapai,Councilor,"Calauto, Amerel Dimangadap",Amel,1026
Sulu,Lugus,Councilor,"Saning, Abdurahman Tani",Ibong,1026
Abra,Licuan-Baay Licuan,Councilor,"Allao, Rudy Blaquera",Imboy,1027
Sulu,Lugus,Councilor,"Putalan, Ambay Mohammad",Ambay,1030
Lanao del Sur,Binidayan,Councilor,"Mulok, Alioden Ramos",Alden,1031
Abra,Tineg,Mayor,"Crisologo, Edwin Sr. Basa",Eddie,1031
Ifugao,Hungduan,Councilor,"Pelagio, Joseph Hucagon",Joe,1033
Abra,Licuan-Baay Licuan,Councilor,"Azada, Eman Taguban",Eman,1035
Mountain Province,Barlig,Councilor,"Pinos-An, Benjamin Calwitan",Ben,1036
Misamis Ocidental,Clarin,Councilor,"Domoyan, Claudio Manday",Datsoy,1037
Ifugao,Hungduan,Councilor,"Gamboc, Juanito Binumnga",Hammoldang,1038
Ifugao,Hungduan,Councilor,"Inabiohan, James Bidang",7,1039
Sulu,Lugus,Councilor,"Asaali, Riking Amil",Rick,1040
Abra,San Isidro,Councilor,"Laureta, Jeanette Callanga",Jean Calla–ga,1043
Abra,Danglas,Councilor,"Abaoag, Aniceto Manzano",Canuto,1044
Romblon,San Fernando,Councilor,"Cawaling, Melvin Batuigas",Nonoy Marlon,1045
Abra,Bucloc,Mayor,"Cardenas, Gody Hermoso",Godi,1047
Ilocos Sur,Lidlidda,Councilor,"Joven, Prudencio Dumagoy",Lading,1048
Abra,Licuan-Baay Licuan,Councilor,"Valera, Herminia Bangibang",Bati,1049
Samar (Western Samar),San Jose De Buan,Councilor,"Ornada, Antonieto Baldosa",Olxe,1049
Ilocos Sur,Lidlidda,Councilor,"Baling-Oay, Roger Rufino",Roger,1051
Sulu,Panglima Estino New Pan,Councilor,"Estino, Sahibbal  Hajal",Sahibbal,1055
Ilocos Sur,Lidlidda,Councilor,"Bagni, Santos Bulal-Lit",Santos,1056
Abra,Langgiden,Councilor,"Bigornia, Nelson Ranchez",Son,1057
Lanao del Sur,Binidayan,Councilor,"Aragasi, Hadji Sirad Olama",H. Sirad,1062
Lanao del Sur,Binidayan,Councilor,"Raraco, Salahodin Siddique",Salahk,1063
Ilocos Sur,Sigay,Vice-Mayor,"Wandas, Simeon Jr. Pugongan",Tiwi,1066
Abra,Boliney,Councilor,"Basingan, Malbin Timmangen",Dalwinis,1069
Quezon,Patnanungan,Mayor,"Eusebio, Danteo Manlangit",Dante,1070
Lanao del Sur,Sultan Dumalondong,Councilor,"Ditucalan, Nasser Acay",Nash,1073
Abra,Langgiden,Councilor,"Palecpec, Amelia Anical",Amy,1073
Romblon,San Fernando,Councilor,"Sombilon, Isidro Alam",Junior,1074
Cagayan,Santa Praxedes,Councilor,"Aguino, Edgardo Calivoso",Ed Aguino,1074
Ilocos Sur,Nagbukel,Councilor,"Calderon, Winston Cabuslay",Bobong,1078
Abra,Lagayan,Councilor,"Haynes, Rolando Agcalis",Botog,1079
Abra,Langgiden,Councilor,"Bisares, Consuelo Andallo",Consing,1079
Nueva Vizcaya,Alfonso Castaneda,Councilor,"Camania, Terence Rivera",Tenten Ulupong,1080
Abra,Langgiden,Councilor,"Arconado, Flordeliza Castillo",Liza,1086
Romblon,San Fernando,Councilor,"Sombilon, Velmo Tumbokon",Vel,1088
Ilocos Sur,Lidlidda,Councilor,"Salupen, Francisco Lang-Oey",Budget,1088
Sulu,Lugus,Councilor,"Asamuddin, Sid Joe",Sid,1089
Abra,Malibcong,Vice-Mayor,"Baawa, Mario Agyao",Mar,1089
