province,city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Lanao del Sur,Kapai,Mayor,"Gauraki, Hamza Epie",Ustad,Partido Demokratiko Pilipino,1420
Lanao del Sur,Kapai,Vice-Mayor,"Eppie, Shainollah Pasagi",Puti,Independent,1514
Lanao del Sur,Kapai,Councilor,"Hadji Yusoph, Batie Hadji Taha",Daud,Independent,921
Lanao del Sur,Kapai,Councilor,"Hadji Jalal, Sadat Mala",Sadat,Independent,881
Lanao del Sur,Kapai,Councilor,"Lantong, Hattah Macapaar",Hattah,Independent,849
Lanao del Sur,Kapai,Councilor,"Gani, Alinader Azis",Alder,Independent,687
Lanao del Sur,Kapai,Councilor,"Calauto, Shahawe Lantong",Waway,Independent,652
Lanao del Sur,Kapai,Councilor,"Cader, Sokly Babay",Sokly,Independent,645
Lanao del Sur,Kapai,Councilor,"Eppie, Cairoden Alangadi",Toto,Independent,618
Lanao del Sur,Kapai,Councilor,"Eppie, Omar Said",Omar,Independent,588
Lanao del Sur,Kapatagan,Mayor,"Maglangit, Nhazruddin Bambang","Jun Maglangit, Nhazruddin Bambang",Liberal Party,6703
Lanao del Sur,Kapatagan,Vice-Mayor,"Bansil, Paisal Musama","Pai Bansil, Paisal Musa",Liberal Party,6439
Lanao del Sur,Kapatagan,Councilor,"Bansil, Radzak Laolao",Radzak Bansil Laolao,Independent,5966
Lanao del Sur,Kapatagan,Councilor,"Lacoto, Humaid Saglayan","Maid Lacoto, Humaid Saglayan",Independent,5852
Lanao del Sur,Kapatagan,Councilor,"Palawan, Nasef Bansil",Nash Palawan Nasef Bansil,Independent,5782
Lanao del Sur,Kapatagan,Councilor,"Bansil, Amron Maasiral","Reo Bansil, Amron Maasiral",Independent,5705
Lanao del Sur,Kapatagan,Councilor,"Macabalang, Yasser Mesug",Ato Macabalang Yasser Mesug,Independent,5689
Lanao del Sur,Kapatagan,Councilor,"Bansil, Norain Ampaso",Oke Bansil Norain Ampaso,Independent,5556
Lanao del Sur,Kapatagan,Councilor,"Kudarat, Bedis Maico Malunsay",Bedskudarat Bedis M. Malunsay,Independent,5472
Lanao del Sur,Kapatagan,Councilor,"Beda, Basher Bilalang","Triple B. Beda, Basher Basco",Independent,5442
Lanao del Sur,Lumba-Bayabao Maguing,Mayor,"Dagalangit, Gambai Rasuman",Masiu,Partido Demokratiko Pilipino,5640
Lanao del Sur,Lumba-Bayabao Maguing,Vice-Mayor,"Dagalangit, London Pandapatan",London,Independent,4262
Lanao del Sur,Lumba-Bayabao Maguing,Councilor,"Galo- Lamping, Anwar Mipanga",Ano,Independent,5519
